Group,Date,Fed,Ate
1,Oct  1 2018,40,37
1,NA,40,37
1,NA,40,35
1,NA,40,35
1,Oct  5 2018,40,36
1,NA,40,36
1,Oct  7 2018,40,34
1,NA,40,37
1,Oct  9 2018,40,35
1,NA,40,34
1,NA,40,35
1,NA,40,38
1,NA,40,36
1,NA,40,37
1,Oct 15 2018,40,37
1,Oct 16 2018,40,37
1,NA,40,35
1,Oct 18 2018,40,34
1,Oct 19 2018,40,39
1,Oct 20 2018,40,34
1,Oct 21 2018,40,34
1,NA,40,35
1,NA,40,36
1,Oct 24 2018,40,35
1,NA,40,38
1,Oct 26 2018,40,36
1,Oct 27 2018,40,39
1,Oct 28 2018,40,38
1,Oct 29 2018,40,31
1,NA,40,37
1,Oct 31 2018,40,38
2,Oct  1 2018,40,38
2,NA,40,37
2,NA,40,38
2,Oct  4 2018,40,39
2,NA,40,38
2,NA,40,35
2,NA,40,34
2,Oct  8 2018,40,37
2,NA,40,36
2,Oct 10 2018,40,36
2,Oct 11 2018,40,35
2,Oct 12 2018,40,39
2,Oct 13 2018,40,40
2,NA,40,34
2,Oct 15 2018,40,36
2,NA,40,36
2,Oct 17 2018,40,34
2,NA,40,36
2,Oct 19 2018,40,39
2,NA,40,39
2,Oct 21 2018,40,37
2,NA,40,35
2,NA,40,35
2,Oct 24 2018,40,37
2,NA,40,39
2,NA,40,36
2,Oct 27 2018,40,38
2,Oct 28 2018,40,38
2,Oct 29 2018,40,38
2,NA,40,34
2,Oct 31 2018,40,37
3,Oct  1 2018,40,36
3,Oct  2 2018,40,38
3,NA,40,35
3,Oct  4 2018,40,34
3,Oct  5 2018,40,38
3,Oct  6 2018,40,36
3,NA,40,37
3,NA,40,37
3,Oct  9 2018,40,39
3,Oct 10 2018,40,38
3,Oct 11 2018,40,37
3,NA,40,38
3,Oct 13 2018,40,36
3,Oct 14 2018,40,32
3,Oct 15 2018,40,35
3,Oct 16 2018,40,35
3,NA,40,35
3,NA,40,35
3,Oct 19 2018,40,36
3,NA,40,38
3,Oct 21 2018,40,35
3,Oct 22 2018,40,33
3,NA,40,37
3,NA,40,34
3,NA,40,38
3,NA,40,37
3,NA,40,35
3,Oct 28 2018,40,34
3,Oct 29 2018,40,36
3,Oct 30 2018,40,34
3,Oct 31 2018,40,34
4,NA,40,38
4,NA,40,35
4,Oct  3 2018,40,37
4,NA,40,37
4,Oct  5 2018,40,31
4,NA,40,34
4,NA,40,39
4,NA,40,35
4,NA,40,36
4,Oct 10 2018,40,37
4,NA,40,39
4,Oct 12 2018,40,38
4,NA,40,36
4,Oct 14 2018,40,36
4,NA,40,37
4,Oct 16 2018,40,36
4,NA,40,34
4,Oct 18 2018,40,37
4,NA,40,33
4,NA,40,36
4,NA,40,35
4,Oct 22 2018,40,34
4,NA,40,33
4,NA,40,34
4,NA,40,38
4,Oct 26 2018,40,35
4,Oct 27 2018,40,35
4,Oct 28 2018,40,31
4,NA,40,38
4,Oct 30 2018,40,35
4,NA,40,39
